Product URL,Product name,brand,Mrp,Sales price,Discount percentage,Number of reviews,Star rating
https://www.amazon.com/adidas-Pureboost-Grey-Vivid-Red/dp/B09NTNWGDS?psc=1,adidas Men's Pureboost 21 Trail Running Shoe,Adidas,130.0,89.39,31,24,4.2
https://www.amazon.com/adidas-Ultraboost-Running-Silver-Metallic/dp/B08N5MZR27?psc=1,adidas Men's Ultraboost 4.0 DNA Running Shoe,Adidas,0.0,240.5,0,216,4.7
https://www.amazon.com/ASICS-Gel-Quantum-Infinity-Running-Piedmont/dp/B08284YH15?psc=1,ASICS Men's Gel-Quantum Infinity Jin Shoes,ASICS,140.0,89.95,36,98,4.5
https://www.amazon.com/adidas-Ultraboost-Cloud-Silver-Metallic/dp/B09MC9NQPN?psc=1,adidas Women's Ultraboost 4.0 DNA Running Shoe,Adidas,0.0,99.97,19,317,4.6
https://www.amazon.com/ASICS-Gel-Cumulus-Running-Shocking-Orange/dp/B09CLLV2CC?psc=1,ASICS Men's Gel-Cumulus 24 Running Shoes,ASICS,0.0,129.95,0,7,5.0
https://www.amazon.com/Nike-Winflo-Running-Trainers-Sneakers/dp/B083FRL6M2?psc=1,Nike Men's Race Running Shoe,Nike,0.0,149.99,0,161,4.4
https://www.amazon.com/Nike-Odyssey-React-Flyknit-Running/dp/B07LG96WMH?psc=1,Nike Mens Odyssey React Flyknit 2 Running Shoes,Nike,0.0,149.99,0,174,4.2
https://www.amazon.com/adidas-Terrex-Skychaser-Hiking-Black/dp/B08RJZB5LZ?psc=1,adidas Men's Hiking Shoes,Adidas,0.0,126.05,0,147,4.2
https://www.amazon.com/Nike-Zoom-Pegasus-Running-Cj0677-002/dp/B08PDSMKSV?psc=1,Nike Men's Air Zoom Pegasus 37 TB Running Shoes,Nike,0.0,159.0,0,64,4.5
https://www.amazon.com/ASICS-Gel-Nimbus-Running-Shoes-White/dp/B09CLNKHKX?psc=1,ASICS Men's Gel-Nimbus 24 Running Shoes,ASICS,0.0,159.95,0,13,4.0
https://www.amazon.com/adidas-Solar-Blaze-Running-Sneakers/dp/B08MJGNRJC?psc=1,adidas Solar Blaze Shoes Men's,Adidas,0.0,64.95,0,178,4.4
https://www.amazon.com/adidas-Pureboost-Shoes-Mens-Black/dp/B07TF9V4HS?psc=1,adidas Unisex-Adult Pureboost DPR Running Shoe,Adidas,0.0,90.0,0,451,4.5
https://www.amazon.com/Reebok-Unisex-Nano-Running-Black/dp/B09M66Z391?psc=1,Reebok Unisex-Adult Mdf60 Running Shoe,Reebok,135.0,108.78,19,0,0.0
https://www.amazon.com/ASICS-Metaracer-Running-Digital-French/dp/B08RWPT6WL?psc=1,ASICS Men's Metaracer Running Shoes,ASICS,0.0,199.95,0,30,4.2
https://www.amazon.com/adidas-4DFWD-Black-White-Carbon/dp/B09G6FWQD6?psc=1,adidas 4DFWD Kick,Adidas,160.0,77.1,52,18,3.7
https://www.amazon.com/Nike-Mens-Shoes-Green-Numeric_10/dp/B08BJDTW51?psc=1,Nike Men's Training Gymnastics Shoe,Nike,0.0,299.0,0,422,4.6
https://www.amazon.com/ASICS-Gel-Fastball-Running-Shoes-Drive/dp/B07QCYVL6B?psc=1,ASICS Gel-Fastball 3 Men's Handball Shoes,ASICS,0.0,176.95,0,60,4.8
https://www.amazon.com/ASICS-Gel-Sileo-Running-Black-Cayenne/dp/B07DP2HFZK?psc=1,ASICS Men's Gel-Sileo Running Shoes,ASICS,0.0,68.0,0,166,4.6
https://www.amazon.com/Reebok-Floatride-Court-White-Orange/dp/B08944ZWF1?psc=1,Reebok Men's Floatride Run Fast 3.0 Court Blue/FTWR White/Orange Flare,Reebok,125.0,82.44,34,2,4.5
https://www.amazon.com/adidas-Ultraboost-Running-Trainers-Sneakers/dp/B0919PW3JX?psc=1,adidas Ultraboost DNA X Lego Colo Mens Running Trainers Sneakers,Adidas,0.0,227.69,0,22,4.5
https://www.amazon.com/adidas-Parley-Shoes-Mens-White/dp/B08NFHMG4Y?psc=1,adidas 4D Run 1.0 Shoes Men's,Adidas,0.0,159.9,0,80,4.6
https://www.amazon.com/adidas-RunFalcon-Running-Active-Black/dp/B07KDJB6NL?psc=1,adidas Men's Falcon,Adidas,0.0,82.95,0,2433,4.5
https://www.amazon.com/ASICS-Gel-Nimbus-Running-Digital-Marigold/dp/B08VH53XGY?psc=1,ASICS Men's Gel-Nimbus 23 Running Shoes,ASICS,0.0,159.9,0,197,4.7
https://www.amazon.com/Reebok-Endless-Running-Black-Vector/dp/B092ZH7TFY?psc=1,Reebok Men's Endless Road 3.0 Running Shoe,Reebok,0.0,76.55,0,8,4.1
https://www.amazon.com/Nike-Running-Trainers-DA9357-Sneakers/dp/B08X78B161?psc=1,Nike Air Max 2090 Eoi Mens Running Trainers Da9357 Sneakers Shoes,Nike,0.0,160.0,0,31,4.9
https://www.amazon.com/adidas-Yeezy-Boost-Reflective-Sneaker/dp/B08R812ZXQ?psc=1,adidas Yeezy Boost 350 V2,Adidas,0.0,399.99,44,533,4.5
https://www.amazon.com/Nike-Genome-Obsidian-University-DB0249/dp/B09K4K1BLT?psc=1,Nike Men's Air Max Genome Obsidian/University Red (DB0249 400) -,Nike,134.99,127.5,6,5,5.0
https://www.amazon.com/adidas-Mens-Racer-Running-White/dp/B08PVV1SVY?psc=1,adidas Men's Athletics and Running Sneaker,Adidas,0.0,70.0,0,44,4.5
https://www.amazon.com/adidas-outdoor-Terrex-Agravic-Shoe/dp/B078WG2QZW?psc=1,adidas Men's Terrex Agravic Cross Trainers Trail Running Shoe,Adidas,0.0,160.0,0,61,4.5
https://www.amazon.com/adidas-Yeezy-Boost-FZ5240-Taupe/dp/B08QZZV7QJ?psc=1,adidas Yeezy Boost 350 V2,Adidas,0.0,409.0,0,533,4.5
